0,1,2,3,4,5,6,7,8,9,10
root vegetables,sweet spreads,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
whole milk,canned beer,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
pork,hamburger meat,whole milk,whole milk,fruit/vegetable juice,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
other vegetables,herbs,,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
yogurt,processed cheese,,,,,,,,,
beef,soda,,,,,,,,,
margarine,shopping bags,,,,,,,,,
chocolate,white bread,,,,,,,,,
bottled beer,cat food,newspapers,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
sausage,shopping bags,,,,,,,,,
soda,hard cheese,,,,,,,,,
whole milk,dish cleaner,,,,,,,,,
bottled water,chocolate,,,,,,,,,
beef,rolls/buns,,,,,,,,,
root vegetables,other vegetables,bottled beer,softener,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
soda,yogurt,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
softener,soda,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
ham,specialty bar,,,,,,,,,
other vegetables,oil,,,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
frankfurter,whole milk,hamburger meat,white bread,,,,,,,
sausage,mustard,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
fruit/vegetable juice,candy,hygiene articles,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
pip fruit,candy,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
soda,soda,,,,,,,,,
shopping bags,UHT-milk,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
whole milk,cleaner,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
meat,root vegetables,,,,,,,,,
onions,soda,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
bottled water,bottled water,,,,,,,,,
beverages,sugar,,,,,,,,,
other vegetables,soda,UHT-milk,salty snack,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
pork,coffee,,,,,,,,,
dessert,jam,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
dog food,brown bread,salty snack,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
root vegetables,frozen dessert,oil,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
pastry,napkins,,,,,,,,,
root vegetables,grapes,,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
sausage,salty snack,,,,,,,,,
meat,canned beer,yogurt,,,,,,,,
male cosmetics,roll products ,pastry,,,,,,,,
tropical fruit,detergent,,,,,,,,,
coffee,sugar,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,pastry,,,,,,,,,
chicken,frozen vegetables,candles,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
pork,rolls/buns,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,onions,,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
cream cheese ,pastry,,,,,,,,,
brown bread,detergent,,,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
chicken,abrasive cleaner,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
beef,shopping bags,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
rolls/buns,whole milk,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
brown bread,white wine,,,,,,,,,
pip fruit,frankfurter,other vegetables,napkins,,,,,,,
rolls/buns,canned beer,,,,,,,,,
frankfurter,yogurt,other vegetables,herbs,male cosmetics,,,,,,
beef,canned beer,margarine,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
beef,waffles,salty snack,,,,,,,,
beef,rolls/buns,,,,,,,,,
soda,roll products ,,,,,,,,,
UHT-milk,specialty cheese,,,,,,,,,
pork,root vegetables,,,,,,,,,
fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
root vegetables,yogurt,,,,,,,,,
berries,curd,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
canned fish,whole milk,,,,,,,,,
softener,margarine,hygiene articles,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
dessert,butter,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
pork,butter,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
light bulbs,yogurt,,,,,,,,,
brown bread,pastry,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,onions,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
yogurt,pastry,,,,,,,,,
beef,shopping bags,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
beef,other vegetables,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
hamburger meat,white wine,,,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
butter milk,hard cheese,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
ice cream,grapes,,,,,,,,,
soda,candy,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
pastry,semi-finished bread,dishes,napkins,,,,,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
shopping bags,waffles,,,,,,,,,
pork,pip fruit,,,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
beef,butter,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,brown bread,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pastry,napkins,pastry,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pastry,shopping bags,,,,,,,,,
hamburger meat,spices,chocolate,,,,,,,,
whole milk,curd,,,,,,,,,
whole milk,chewing gum,,,,,,,,,
tropical fruit,other vegetables,hygiene articles,brandy,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
shopping bags,white bread,ice cream,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
other vegetables,whole milk,semi-finished bread,,,,,,,,
ice cream,shopping bags,,,,,,,,,
herbs,grapes,whipped/sour cream,,,,,,,,
frozen potato products,detergent,,,,,,,,,
root vegetables,waffles,,,,,,,,,
margarine,citrus fruit,oil,,,,,,,,
root vegetables,newspapers,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
root vegetables,cling film/bags,,,,,,,,,
tropical fruit,skin care,,,,,,,,,
other vegetables,skin care,,,,,,,,,
white wine,soft cheese,,,,,,,,,
mayonnaise,curd,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
whipped/sour cream,whipped/sour cream,fruit/vegetable juice,,,,,,,,
soda,chocolate marshmallow,hard cheese,,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
butter milk,dessert,processed cheese,,,,,,,,
dessert,yogurt,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
berries,whole milk,,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
whipped/sour cream,onions,other vegetables,yogurt,rolls/buns,,,,,,
curd,semi-finished bread,whole milk,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
curd,soda,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
hamburger meat,other vegetables,domestic eggs,,,,,,,,
turkey,flour,,,,,,,,,
onions,soda,,,,,,,,,
berries,other vegetables,,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
beef,whole milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,candy,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
beef,pork,,,,,,,,,
meat,misc. beverages,,,,,,,,,
rolls/buns,pork,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
white bread,red/blush wine,,,,,,,,,
whole milk,waffles,,,,,,,,,
whole milk,pip fruit,frozen vegetables,soda,,,,,,,
other vegetables,coffee,,,,,,,,,
whole milk,oil,,,,,,,,,
candy,soda,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
citrus fruit,butter milk,cream cheese ,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
grapes,other vegetables,,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
frankfurter,bottled water,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
pork,bottled beer,butter,,,,,,,,
yogurt,whole milk,,,,,,,,,
tropical fruit,baking powder,,,,,,,,,
other vegetables,cat food,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
ham,citrus fruit,,,,,,,,,
root vegetables,butter,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
bottled water,shopping bags,shopping bags,,,,,,,,
whole milk,bottled water,,,,,,,,,
brown bread,waffles,,,,,,,,,
UHT-milk,berries,,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
chicken,other vegetables,,,,,,,,,
beverages,sausage,whole milk,citrus fruit,whole milk,,,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
butter,frozen meals,,,,,,,,,
pip fruit,sugar,,,,,,,,,
beverages,specialty fat,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
tropical fruit,condensed milk,citrus fruit,whipped/sour cream,,,,,,,
berries,pastry,,,,,,,,,
waffles,napkins,,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
pork,chicken,other vegetables,curd,hard cheese,,,,,,
hamburger meat,bottled water,,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
pork,beef,canned beer,newspapers,fruit/vegetable juice,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
yogurt,photo/film,,,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
bottled water,liquor,,,,,,,,,
berries,whole milk,,,,,,,,,
sliced cheese,yogurt,,,,,,,,,
pork,soda,,,,,,,,,
dessert,curd,,,,,,,,,
curd,cream cheese ,,,,,,,,,
cooking chocolate,chewing gum,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
curd,cream cheese ,domestic eggs,,,,,,,,
finished products,other vegetables,,,,,,,,,
berries,dessert,dessert,,,,,,,,
meat,domestic eggs,,,,,,,,,
whole milk,mustard,,,,,,,,,
soda,sliced cheese,butter,,,,,,,,
liquor,brandy,,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
canned beer,turkey,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
brown bread,pastry,,,,,,,,,
whole milk,oil,soups,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
pasta,shopping bags,,,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
soda,red/blush wine,,,,,,,,,
pork,yogurt,,,,,,,,,
chicken,coffee,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
curd,soda,rolls/buns,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
other vegetables,sugar,,,,,,,,,
ice cream,whole milk,,,,,,,,,
rolls/buns,shopping bags,cream cheese ,,,,,,,,
root vegetables,snack products,,,,,,,,,
cleaner,pastry,,,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
whole milk,frozen meals,shopping bags,whole milk,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
chicken,liquor,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
tropical fruit,whole milk,chocolate,,,,,,,,
root vegetables,margarine,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,soda,other vegetables,rolls/buns,rolls/buns,,,,,,
margarine,liquor,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
pork,cake bar,,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
butter,tropical fruit,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,root vegetables,brown bread,soda,,,,,,,
coffee,shopping bags,shopping bags,,,,,,,,
chicken,meat,chewing gum,bottled beer,baking powder,shopping bags,,,,,
ready soups,pastry,,,,,,,,,
frankfurter,bottled water,shopping bags,finished products,yogurt,newspapers,tropical fruit,liquor (appetizer),dog food,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
mustard,brown bread,,,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
sausage,specialty bar,,,,,,,,,
butter,root vegetables,,,,,,,,,
ham,root vegetables,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
whole milk,butter milk,,,,,,,,,
red/blush wine,butter,soda,,,,,,,,
herbs,soda,,,,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
dishes,tropical fruit,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,white wine,,,,,,,,,
soda,rolls/buns,,,,,,,,,
sugar,bottled beer,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
tropical fruit,soda,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
tropical fruit,pastry,,,,,,,,,
other vegetables,curd,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
hamburger meat,pasta,,,,,,,,,
cat food,whole milk,whole milk,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
frozen fish,specialty cheese,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
specialty chocolate,fruit/vegetable juice,fruit/vegetable juice,rolls/buns,,,,,,,
frankfurter,butter milk,,,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
white bread,fruit/vegetable juice,,,,,,,,,
canned fruit,detergent,,,,,,,,,
processed cheese,white bread,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
hamburger meat,beef,bottled beer,whole milk,chocolate,,,,,,
butter,male cosmetics,newspapers,,,,,,,,
other vegetables,hamburger meat,citrus fruit,dish cleaner,coffee,coffee,mayonnaise,newspapers,,,
rolls/buns,yogurt,,,,,,,,,
sausage,whole milk,,,,,,,,,
frankfurter,other vegetables,butter,frozen vegetables,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
pip fruit,other vegetables,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
sausage,curd,margarine,,,,,,,,
chicken,other vegetables,,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,dessert,,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
onions,chocolate,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
chewing gum,pastry,pastry,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
oil,butter,,,,,,,,,
yogurt,coffee,candy,candles,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
whole milk,butter,newspapers,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
grapes,pickled vegetables,,,,,,,,,
turkey,cream cheese ,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
pip fruit,white wine,sweet spreads,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
whole milk,newspapers,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
fruit/vegetable juice,butter,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
baking powder,domestic eggs,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
beef,roll products ,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
bottled beer,newspapers,pickled vegetables,mustard,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
berries,pastry,,,,,,,,,
soda,flower (seeds),jam,,,,,,,,
pork,bottled water,,,,,,,,,
bottled water,yogurt,,,,,,,,,
specialty chocolate,flour,,,,,,,,,
sausage,yogurt,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
ham,napkins,rice,,,,,,,,
dessert,rice,,,,,,,,,
pork,processed cheese,,,,,,,,,
newspapers,pastry,,,,,,,,,
soda,whole milk,,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
sliced cheese,margarine,,,,,,,,,
pip fruit,onions,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
brown bread,flour,,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
bottled water,domestic eggs,frozen meals,,,,,,,,
candles,other vegetables,,,,,,,,,
pastry,liquor (appetizer),sliced cheese,,,,,,,,
soda,flour,cocoa drinks,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
tropical fruit,other vegetables,domestic eggs,,,,,,,,
yogurt,pastry,,,,,,,,,
grapes,rolls/buns,pot plants,,,,,,,,
tidbits,other vegetables,,,,,,,,,
organic sausage,herbs,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream,,,,,
frozen fruits,citrus fruit,,,,,,,,,
pasta,root vegetables,,,,,,,,,
beverages,prosecco,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
chocolate,tropical fruit,,,,,,,,,
sausage,beef,,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer,,,
yogurt,whole milk,abrasive cleaner,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
root vegetables,butter,,,,,,,,,
butter,bottled water,,,,,,,,,
pastry,bottled beer,fruit/vegetable juice,,,,,,,,
root vegetables,bottled water,,,,,,,,,
bottled beer,Instant food products,,,,,,,,,
white bread,flour,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
ham,whole milk,,,,,,,,,
misc. beverages,salt,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
ham,rolls/buns,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
grapes,whole milk,,,,,,,,,
white bread,canned beer,,,,,,,,,
pork,mayonnaise,,,,,,,,,
seasonal products,pot plants,whole milk,dental care,,,,,,,
zwieback,tropical fruit,,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
other vegetables,baking powder,,,,,,,,,
whole milk,domestic eggs,canned vegetables,baking powder,hygiene articles,detergent,,,,,
herbs,whole milk,other vegetables,shopping bags,,,,,,,
pip fruit,canned beer,soft cheese,soft cheese,canned fish,semi-finished bread,newspapers,napkins,,,
grapes,ketchup,,,,,,,,,
beef,spread cheese,cake bar,,,,,,,,
pork,curd,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
whole milk,root vegetables,curd,yogurt,,,,,,,
yogurt,root vegetables,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
coffee,whole milk,,,,,,,,,
canned beer,fish,,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
flour,pastry,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
butter milk,spices,,,,,,,,,
turkey,specialty bar,,,,,,,,,
pickled vegetables,bottled water,,,,,,,,,
ham,white wine,pasta,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
oil,canned beer,,,,,,,,,
tropical fruit,pork,whole milk,salt,,,,,,,
bottled water,beverages,,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
shopping bags,napkins,,,,,,,,,
other vegetables,napkins,,,,,,,,,
sliced cheese,cling film/bags,,,,,,,,,
rum,sugar,,,,,,,,,
butter,margarine,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
beef,baking powder,,,,,,,,,
berries,candy,,,,,,,,,
tropical fruit,fish,,,,,,,,,
pot plants,chicken,,,,,,,,,
root vegetables,berries,coffee,bottled beer,rice,,,,,,
sausage,pastry,,,,,,,,,
whole milk,whole milk,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
flour,bottled water,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
chewing gum,UHT-milk,,,,,,,,,
butter,frozen dessert,whole milk,,,,,,,,
ham,whole milk,,,,,,,,,
beef,yogurt,,,,,,,,,
chicken,pastry,candles,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
rolls/buns,rum,,,,,,,,,
whole milk,domestic eggs,pasta,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
other vegetables,berries,,,,,,,,,
baking powder,soda,beverages,,,,,,,,
newspapers,chocolate,,,,,,,,,
canned beer,butter,,,,,,,,,
root vegetables,cream,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
root vegetables,whipped/sour cream,chocolate,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
white wine,rolls/buns,soda,white bread,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
sausage,tropical fruit,curd,,,,,,,,
other vegetables,brown bread,,,,,,,,,
pork,tropical fruit,whole milk,chewing gum,,,,,,,
root vegetables,butter,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
beef,salt,,,,,,,,,
white wine,brown bread,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
onions,candy,,,,,,,,,
pastry,oil,potato products,,,,,,,,
other vegetables,sausage,rolls/buns,domestic eggs,waffles,whole milk,,,,,
frankfurter,dessert,pet care,soda,whipped/sour cream,,,,,,
fish,newspapers,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
yogurt,soda,yogurt,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
yogurt,mustard,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
sausage,white bread,coffee,,,,,,,,
frankfurter,pastry,misc. beverages,,,,,,,,
bottled water,butter,,,,,,,,,
chocolate,coffee,,,,,,,,,
other vegetables,rolls/buns,root vegetables,,,,,,,,
pip fruit,whole milk,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
hamburger meat,condensed milk,,,,,,,,,
whole milk,root vegetables,detergent,,,,,,,,
ham,misc. beverages,,,,,,,,,
chewing gum,coffee,margarine,,,,,,,,
rolls/buns,pork,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
UHT-milk,berries,,,,,,,,,
rolls/buns,butter,,,,,,,,,
pork,yogurt,,,,,,,,,
root vegetables,curd,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
other vegetables,salt,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
yogurt,newspapers,,,,,,,,,
canned beer,long life bakery product,dish cleaner,candy,,,,,,,
dessert,whole milk,,,,,,,,,
sausage,yogurt,pastry,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
cleaner,curd,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
yogurt,napkins,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
tropical fruit,pork,photo/film,hard cheese,,,,,,,
pork,pickled vegetables,,,,,,,,,
soda,coffee,salty snack,,,,,,,,
ham,other vegetables,,,,,,,,,
popcorn,domestic eggs,canned beer,butter milk,,,,,,,
butter,semi-finished bread,,,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
meat,other vegetables,chewing gum,,,,,,,,
sausage,root vegetables,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
ham,onions,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
